institution,postal_code
Ang Mo Kio Polyclinic,569666
Bedok Polyclinic,469662
Bukit Batok Polyclinic,659164
Bukit Merah Polyclinic,150163
Choa Chu Kang Polyclinic,688846
Clementi Polyclinic,120451
Geylang Polyclinic,389707
Hougang Polyclinic,538829
Jurong Polyclinic,609788
Marine Parade Polyclinic,440080
Outram Polyclinic,168937
Pasir Ris Polyclinic,519457
Queenstown Polyclinic,148958
Sengkang Polyclinic,545025
Tampines Polyclinic,529203
Toa Payoh Polyclinic,319260
Woodlands Polyclinic,738579
Yishun Polyclinic,768898
Pioneer Polyclinic,648201
Punggol Polyclinic,820681
Eunos polyclinc,429400
Sembawang Polyclinc,756973
Kallang Polyclinic,328263
Bukit Panjang Polyclinic,677726
Khatib Polyclinic,769567
Tampines North Polyclinic,528566
ALEXANDRA HOSPITAL,159964
CHANGI GENERAL HOSPITAL,529889
INSTITUTE OF MENTAL HEALTH,539747
KHOO TECK PUAT HOSPITAL,768828
KK WOMEN'S AND CHILDREN'S HOSPITAL,229899
NATIONAL UNIVERSITY HOSPITAL,119074
NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,609606
SENGKANG GENERAL HOSPITAL,544886
SINGAPORE GENERAL HOSPITAL,169608
TAN TOCK SENG HOSPITAL PTE LTD,308433
WOODLANDS HOSPITAL,737628
