quarter,sora_3m,inflation_yoy,real_interest_rate,sora_3m_lag1,real_interest_rate_lag1,num_transactions
2017-Q1,0.2567,,,,,
2017-Q2,0.4846,,,0.2567,,
2017-Q3,0.716,,,0.4846,,
2017-Q4,0.8358,,,0.716,,
2018-Q1,0.682,-1.7176997759522115,2.3996997759522114,0.8358,,
2018-Q2,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,5553.0
2018-Q3,1.2199,-0.9036144578313381,2.1235144578313383,0.8872,2.3830863126402395,6591.0
2018-Q4,1.4504,-0.9049773755656023,2.3553773755656024,1.2199,2.1235144578313383,5281.0
2019-Q1,1.5284,-0.45592705167172826,1.9843270516717282,1.4504,2.3553773755656024,4507.0
2019-Q2,1.735,-0.6833712984054499,2.41837129840545,1.5284,1.9843270516717282,5869.0
2019-Q3,1.5273,-0.5319148936170127,2.0592148936170127,1.735,2.41837129840545,5846.0
2019-Q4,1.2682,0.07610350076103067,1.1920964992389693,1.5273,2.0592148936170127,5964.0
2020-Q1,0.8929,0.38167938931297707,0.511220610687023,1.2682,1.1920964992389693,5509.0
2020-Q2,0.143,0.8409785932721668,-0.6979785932721668,0.8929,0.511220610687023,3225.0
2020-Q3,0.0997,2.2918258212375857,-2.192125821237586,0.143,-0.6979785932721668,7364.0
2020-Q4,0.1283,5.019011406844102,-4.890711406844102,0.0997,-2.192125821237586,7235.0
2021-Q1,0.2295,8.136882129277557,-7.907382129277558,0.1283,-4.890711406844102,7094.0
2021-Q2,0.1349,10.993176648976496,-10.858276648976496,0.2295,-7.907382129277558,6592.0
2021-Q3,0.1306,12.471994025392075,-12.341394025392075,0.1349,-10.858276648976496,7914.0
2021-Q4,0.1867,12.744388124547426,-12.557688124547425,0.1306,-12.341394025392075,7487.0
2022-Q1,0.2726,12.165963431786226,-11.893363431786225,0.1867,-12.557688124547425,6599.0
2022-Q2,0.7572,11.953551912568305,-11.196351912568305,0.2726,-11.893363431786225,6551.0
2022-Q3,1.9732,11.620185922974768,-9.646985922974768,0.7572,-11.196351912568305,7248.0
2022-Q4,3.0966,10.404624277456659,-7.308024277456658,1.9732,-9.646985922974768,6322.0
2023-Q1,3.542,8.840125391849526,-5.298125391849526,3.0966,-7.308024277456658,6665.0
2023-Q2,3.6414,7.50457596095179,-3.86317596095179,3.542,-5.298125391849526,6275.0
2023-Q3,3.7052,6.186793575252829,-2.481593575252829,3.6414,-3.86317596095179,6493.0
2023-Q4,3.709,4.944735311227458,-1.2357353112274576,3.7052,-2.481593575252829,6321.0
2024-Q1,3.6762,5.817972350230412,-2.141772350230412,3.709,-1.2357353112274576,6790.0
2024-Q2,3.6428,6.640181611804777,-2.997381611804777,3.6762,-2.141772350230412,7031.0
2024-Q3,3.4882,8.067226890756306,-4.579026890756306,3.6428,-2.997381611804777,7831.0
2024-Q4,3.0717,9.700665188470065,-6.628965188470065,3.4882,-4.579026890756306,6180.0
2025-Q1,2.5618,9.417528579205232,-6.855728579205232,3.0717,-6.628965188470065,6303.0
2025-Q2,2.0607,7.982969664715274,-5.922269664715273,2.5618,-6.855728579205232,6823.0
2025-Q3,1.4571,5.598755832037316,-4.141655832037316,2.0607,-5.922269664715273,6939.0
2025-Q4,1.1906,2.880242546740772,-1.689642546740772,1.4571,-4.141655832037316,5030.0
2026-Q1,1.1451,,,1.1906,-1.689642546740772,
