quarter,num_transactions,avg_price,median_price,min_price,max_price,avg_real_price,median_real_price,rpi
2021-Q1,7094,490742.13,460000.0,180000.0,1220000.0,702637.82,658621.66,142.2
2021-Q2,6592,508223.33,480000.0,190000.0,1268000.0,706791.46,667540.98,146.4
2021-Q3,7914,516051.55,488000.0,203000.0,1295000.0,697663.31,659739.71,150.6
2021-Q4,7487,528780.73,500000.0,220000.0,1360000.0,691456.36,653821.45,155.7
2022-Q1,6599,532277.67,505000.0,200000.0,1388888.88,679446.6,644626.96,159.5
2022-Q2,6551,549389.32,520000.0,227000.0,1400000.0,682462.88,645954.85,163.9
2022-Q3,7248,558258.82,530000.0,218888.0,1418000.0,676154.05,641927.42,168.1
2022-Q4,6322,558455.75,535044.0,223000.0,1370000.0,661440.32,633711.22,171.9
2023-Q1,6665,559704.23,539000.0,230000.0,1400000.0,656427.31,632145.16,173.6
2023-Q2,6275,572783.82,550000.0,217000.0,1500000.0,661854.62,635527.81,176.2
2023-Q3,6493,576785.81,555000.0,150000.0,1480000.0,657891.27,633042.02,178.5
2023-Q4,6321,578480.38,560000.0,150000.0,1460000.0,652874.76,632017.74,180.4
2024-Q1,6790,591249.01,570000.0,230000.0,1568888.0,655298.3,631747.41,183.7
2024-Q2,7031,603656.9,580000.0,230000.0,1588000.0,654095.51,628461.95,187.9
2024-Q3,7831,621814.04,600000.0,245000.0,1580000.0,656305.54,633281.49,192.9
2024-Q4,6180,634543.67,615000.0,247000.0,1550000.0,652820.07,632713.49,197.9
2025-Q1,6303,641946.18,620000.0,250000.0,1600000.0,650249.96,628019.9,201.0
2025-Q2,6823,654499.74,630000.0,270000.0,1658888.0,656757.75,632173.48,202.9
2025-Q3,6939,659635.42,630000.0,270000.0,1600000.0,659311.6,629690.72,203.7
2025-Q4,5021,653219.61,625000.0,258888.0,1632000.0,653219.61,625000.0,203.6
2026-Q1,6058,658452.28,630000.0,238888.0,1700000.0,658452.28,630000.0,203.6
