town,median_price_2025,median_price_2024,cagr_1yr_pct,median_price_2022,cagr_3yr_pct,median_price_2020,cagr_5yr_pct
Ang Mo Kio,499500.0,470000.0,6.28,425000.0,5.53,350000.0,7.37
Bedok,548000.0,502000.0,9.16,440000.0,7.59,360000.0,8.77
Bishan,849000.0,809444.0,4.89,700000.0,6.64,600000.0,7.19
Bukit Batok,600000.0,575000.0,4.35,489444.0,7.02,370000.0,10.15
Bukit Merah,785000.0,760000.0,3.29,660000.0,5.95,580000.0,6.24
Bukit Panjang,610000.0,585000.0,4.27,502777.9,6.66,435000.0,7.0
Bukit Timah,962944.0,896500.0,7.41,710444.0,10.67,710888.0,6.26
Central Area,611944.0,588000.0,4.07,550000.0,3.62,485000.0,4.76
Choa Chu Kang,592944.0,557500.0,6.36,520000.0,4.47,402000.0,8.08
Clementi,590000.0,525000.0,12.38,536500.0,3.22,438000.0,6.14
Geylang,570000.0,575000.0,-0.87,448000.0,8.36,390000.0,7.89
Hougang,615000.0,595000.0,3.36,510000.0,6.44,430000.0,7.42
Jurong East,524000.0,488000.0,7.38,450000.0,5.21,395000.0,5.81
Jurong West,568000.0,528000.0,7.58,500000.0,4.34,406000.0,6.95
Kallang/ Whampoa,709000.0,680000.0,4.26,675000.0,1.65,460000.0,9.04
Marine Parade,539750.0,503000.0,7.31,489000.0,3.35,434844.0,4.42
Pasir Ris,714000.0,690000.0,3.48,608000.0,5.5,500000.0,7.39
Punggol,672000.0,640000.0,5.0,550000.0,6.91,460000.0,7.88
Queenstown,815000.0,679000.0,20.03,690000.0,5.71,657000.0,4.4
Sembawang,620000.0,575294.0,7.77,520000.0,6.04,395500.0,9.41
Sengkang,660888.0,628000.0,5.24,541888.0,6.84,441000.0,8.43
Serangoon,670000.0,637500.0,5.1,535000.0,7.79,458500.0,7.88
Tampines,710000.0,648000.0,9.57,545000.0,9.22,462000.0,8.97
Toa Payoh,785000.0,610000.0,28.69,510000.0,15.46,359000.0,16.94
Woodlands,590000.0,570000.0,3.51,502400.0,5.5,385000.0,8.91
Yishun,547000.0,530000.0,3.21,458000.0,6.1,370000.0,8.13
